"incident_id","underlying_case_type","overlapping_case_type_flags","victim_suicide","homicide_suicide","victim_alcohol_indicator","perpetrator_alcohol_indicator","both_alcohol_indicators"
"INC-0262","IPV",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"INC-0263","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0265","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0266","Parricide",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0267","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0268","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0269","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0270","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0271","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0272","Parricide",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0273","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0274","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0275","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0277","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0278","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0279","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0280","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0281","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0282","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0283","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0284","Other familial",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0285","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0286","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0287","IPV",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"INC-0288","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0289","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0290","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0291","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0292","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0293","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0294","Other familial",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0295","Other familial",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0296","IPV",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"INC-0297","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0298","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0299","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0300","Other/uncategorised",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0301","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0302","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0303","Other familial",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0304","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0305","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0306","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0307","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0308","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0309","Parricide",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0310","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0311","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0312","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0313","Other/uncategorised",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0314","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0315","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0316","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0317","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0318","Other familial",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0319","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0320","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0321","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0323","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0324","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0325","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0326","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0327","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
